
;Problem;Genotype(s);ObjectiveNumber;rank;eval(avg);eval(dev);ind(avg);ind(dev)
1;dtlz1;Double String;3;40;209,8;3,86073349998;18,2214234932;8,16085733236
2;dtlz2;Double String;3;41;216,8;8,94191784445;0,0455353993444;0,023232838534
3;dtlz3;Double String;3;40;215,1;9,34091171026;46,4346974234;24,0844405059
4;dtlz4;Double String;3;41;212;4,16754376733;0,0124971653188;0,00918419877334
5;dtlz5;Double String;3;40;217,3;8,61516410938;0,0506238250308;0,0258963322289
6;dtlz6;Double String;3;41;219,2;7,09781285809;1,3672629076;0,091272967361
7;dtlz7;Double String;3;40;219,2;10,2371871137;0,0076889294723;0,0024181913227
8;dtlz_bin1;Binary String;3;31;1696,85;386,874149944;3,74910985612;2,69343909831
9;dtlz_bin2;Binary String;3;24;2277,75;202,632899859;0;0
10;dtlz_bin3;Binary String;3;27;2873,55;590,943712254;5,22916435032;5,09215957958
11;dtlz_bin4;Binary String;3;24;1417,2;179,701975504;0;0
12;dtlz_bin5;Binary String;3;22;1939,95;229,498188274;0;0
13;dtlz_bin6;Binary String;3;23;2300,9;380,750491585;0,0450970538995;0,0490134446074
14;dtlz_bin7;Binary String;3;31;1488,4;792,907135998;0,000250832306165;0,000594519325072
15;knapsack1;Binary String;3;30;553,8;138,53048306;1127,03333333;164,867265412
16;knapsack2;Binary String;4;25;609,3;207,792178567;1080,325;174,175654305
17;knapsack3;Binary String;6;31;539,6;203,391352091;1053,125;156,664873778
18;knapsack4;Binary String;3;24;1492,1;572,138821947;1882,51666667;306,593135255
19;knapsack5;Binary String;4;24;1067,6;405,619785669;2101,7;329,52596136
20;knapsack6;Binary String;6;24;1190,7;503,992387161;1954,625;232,234976758
21;knapsack7;Binary String;3;24;1750,3;684,477526447;2919,71666667;434,029511959
22;knapsack8;Binary String;4;24;1676,65;698,228757191;2894,8375;370,91204514
23;knapsack9;Binary String;6;24;1288,8;599,241503025;2959,54166667;366,017271327
24;knapsack_sat1;Binary String, Double String;3;25;1167,7;392,40259938;607,416666667;193,207789698
25;knapsack_sat2;Binary String, Double String;4;25;1329,35;411,244104101;597,1375;204,346881214
26;knapsack_sat3;Binary String, Double String;6;25;1023,8;314,330968717;683,033333333;151,82004583
27;knapsack_sat4;Binary String, Double String;3;25;2429,4;1224,04920782;1211,35;348,850082162
28;knapsack_sat5;Binary String, Double String;4;25;1745,75;731,405127495;1379,85;341,785505221
29;knapsack_sat6;Binary String, Double String;6;25;2031,95;1246,14177089;1405,85;390,631696761
30;knapsack_sat7;Binary String, Double String;3;0;0;0;0;0
31;knapsack_sat8;Binary String, Double String;4;25;2246,75;1057,25512905;2240,3125;584,828134195
32;knapsack_sat9;Binary String, Double String;6;25;3055,15;1465,01044634;1919,375;361,461862438
33;queens_permutation;Permutation;3;38;278,7;35,3673950352;4450;1,25656172418
34;queens_sat;Binary String, Double String;3;22;902,25;248,403719567;628,933333333;137,202015227
35;tsp200;Permutation;1;25;1454,05;618,418651843;4880,83582141;653,526452277
36;tsp300;;-1;0;0;0;0;0
37;wfg1;Double String;2;41;234;15,4204239139;0,940373393716;0,00908228509163
38;wfg2;Double String;2;41;215,8;6,62213195119;0,47611045198;0,0759180568465
39;wfg3;Double String;2;39;226,75;12,6194294641;0,371433143229;0,0853995875128
40;wfg4;Double String;2;38;229,85;10,8350066184;0,812193397913;0,123004774533
41;wfg5;Double String;2;39;224,75;13,8976522061;0,669128235371;0,226900017688
42;wfg6;Double String;2;40;226;14,527650587;0,574163186151;0,158030857495
43;wfg7;Double String;2;39;227,5;15,585080585;0,949906906465;0,101840912287
44;wfg8;Double String;2;41;217,9;10,7796103826;1,26897026994;0,0882700219461
45;wfg9;Double String;2;40;221,1;16,9392101972;0,604195111479;0,169209904
46;wfg_bin1;Binary String;2;23;4272,35;1048,73413795;0,232417870181;0,0329948765184
47;wfg_bin2;Binary String;2;24;4625,7;1467,91040527;0,177719627276;0,0867888668595
48;wfg_bin3;Binary String;2;15;5403,2;841,399310672;0,084456349846;0,0470987226782
49;wfg_bin4;Binary String;2;14;6746,95;2195,42278568;0,111866850926;0,0482895246617
50;wfg_bin5;Binary String;2;15;4344,35;583,712282676;0,155996683685;0,0726629873973
51;wfg_bin6;Binary String;2;17;5099,1;892,431327153;0,118390018528;0,0875236385342
52;wfg_bin7;Binary String;2;14;5207,2;1209,79609417;0,0274767250846;0,0265083974611
53;wfg_bin8;Binary String;2;22;4313,75;1428,75164042;0,941708176047;0,377015982518
54;wfg_bin9;Binary String;2;19;4962,15;1970,66628527;0,209845506441;0,164159786106
55;zdt1;Double String;2;0;0;0;0;0
56;zdt2;Double String;2;34;440,1;90,5096098416;0,576905033769;0,265559021702
57;zdt3;Double String;2;33;510,05;101,928496609;0,332782406715;0,139538740766
58;zdt4;Double String;2;34;423,55;85,0235106804;20,739800742;7,73927911795
59;zdt5;Binary String;2;25;1191,75;171,063507751;0,697767857143;0,146117488877
60;zdt6;Double String;2;33;414,3;79,1262149653;2,81957302681;0,24273104135
61;zdt_bin1;Binary String;2;2;31362,4;2525,65435815;0,00107391828426;0,00479683693731
62;zdt_bin2;Binary String;2;22;29470,75;2854,18418384;0;0
63;zdt_bin3;Binary String;2;0;0;0;0;0
64;zdt_bin4;Binary String;2;16;33590,15;4235,84353465;0,76851911485;0,181587617793
65;zdt_bin5;Binary String;2;25;1191,75;171,063507751;0,769196428572;0,146117488877
66;zdt_bin6;Binary String;2;22;31309,1;2506,195458;0,1778661442;0,0435503269769


SORTED BY GENOTYPE

0;dtlz1;Double String;3;40;209,8;3,86073349998;18,2214234932;8,16085733236
0;dtlz2;Double String;3;41;216,8;8,94191784445;0,0455353993444;0,023232838534
0;dtlz3;Double String;3;40;215,1;9,34091171026;46,4346974234;24,0844405059
0;dtlz4;Double String;3;41;212;4,16754376733;0,0124971653188;0,00918419877334
0;dtlz5;Double String;3;40;217,3;8,61516410938;0,0506238250308;0,0258963322289
0;dtlz6;Double String;3;41;219,2;7,09781285809;1,3672629076;0,091272967361
0;dtlz7;Double String;3;40;219,2;10,2371871137;0,0076889294723;0,0024181913227
0;wfg1;Double String;2;41;234;15,4204239139;0,940373393716;0,00908228509163
0;wfg2;Double String;2;41;215,8;6,62213195119;0,47611045198;0,0759180568465
0;wfg3;Double String;2;39;226,75;12,6194294641;0,371433143229;0,0853995875128
0;wfg4;Double String;2;38;229,85;10,8350066184;0,812193397913;0,123004774533
0;wfg5;Double String;2;39;224,75;13,8976522061;0,669128235371;0,226900017688
